cluster.id	value	variable	sample	epitope	sample.ind
cl22	4.6991158454328	median-channel-value	TCGA-04-1353-01A-01D-1526-09	CCR2	27
cl121	2.11939049491087	median-channel-value	TCGA-05-4398-01A-01D-1265-08	TNR5	97
cl87	0.0592001391248512	median-channel-value	TCGA-05-4430-01A-02D-1265-08	CD14	68
cl33	0.153101142835474	median-channel-value	TCGA-05-4422-01A-01D-1265-08	KIT	91
cl136	NA	median-channel-value	TCGA-05-4398-01A-01R-1206-07	FOXP3	76
cl137	4.17109314480608	median-channel-value	TCGA-05-4434-01A-01R-1206-07	CD3E	96
cl177	NA	median-channel-value	TCGA-06-0645-01A-01R-1849-01	CD33	133
cl99	0.104578585306191	median-channel-value	TCGA-05-5420-01A-01R-1628-07	KI67	113
cl114	0	median-channel-value	TCGA-04-1367-01A-01W-0492-08	PDCD1	32
cl133	0.834119174128422	median-channel-value	TCGA-06-0241-01A-02D-1491-08	DRA	137
cl45	0.755697277333282	median-channel-value	TCGA-02-2485-01A-01R-1849-01	CD14	4
cl189	NA	median-channel-value	TCGA-06-5418-01A-01D-1486-08	TNR5	138
cl86	NA	median-channel-value	TCGA-05-4418-01A-01R-1206-07	PD1L1	69
cl104	3.64425372494938	median-channel-value	TCGA-05-4395-01A-01D-1265-08	FCG3A	126
cl127	2.34169963206152	median-channel-value	TCGA-05-4426-01A-01R-1206-07	CD4	102
cl132	0.13960001724678	median-channel-value	TCGA-05-4422-01A-01D-1265-08	FCERA	91
cl146	0.859573780979627	median-channel-value	TCGA-06-5859-01A-01R-1849-01	PTPRC/CD45RA	139
cl168	NA	median-channel-value	TCGA-04-1332-01A-01W-0488-09	IL7RA	42
cl197	1.24386110142021	median-channel-value	TCGA-02-0033-01A-01D-1490-08	IL3RA	13
cl27	0.15812333980503	median-channel-value	TCGA-05-4384-01A-01D-1753-08	KI67	90
cl159	NA	median-channel-value	TCGA-05-4425-01A-01R-1755-07	IL2RA	117
cl41	0	median-channel-value	TCGA-04-1367-01A-01W-0492-08	CD1C	32
cl165	NA	median-channel-value	TCGA-04-1536-01A-01R-1566-13	ITAM	36
cl43	0.641775158014057	median-channel-value	TCGA-05-5423-01A-01D-1625-08	CD8A	85
cl200	NA	median-channel-value	TCGA-04-1519-01A-01R-1565-13	IL3RA	19
cl66	2.20141780250013	median-channel-value	TCGA-05-4430-01A-02D-1265-08	CD86	68
cl42	1.31795124219143	median-channel-value	TCGA-06-5418-01A-01D-1486-08	ITAM	138
cl177	0.636545805180316	median-channel-value	TCGA-06-2563-01A-01R-1849-01	CD33	140
cl21	2.60437918403933	median-channel-value	TCGA-04-1349-01A-01W-0492-08	CD3E	58
cl107	0.0966041531246866	median-channel-value	TCGA-06-AABW-11A-31R-A36H-07	FCGR1	135
cl172	NA	median-channel-value	TCGA-06-5412-01A-01R-1849-01	FCGR1	141
cl103	NA	median-channel-value	TCGA-04-1332-01A-01R-1564-13	TBX21	37
cl60	0	median-channel-value	TCGA-05-4249-01A-01D-1105-08	FCERA	67
cl109	0	median-channel-value	TCGA-04-1357-01A-01R-1565-13	ITAX	24
cl93	3.50401726485553	median-channel-value	TCGA-05-4418-01A-01D-1265-08	ITAX	128
cl162	0.154047877052642	median-channel-value	TCGA-05-4430-01A-02D-1265-08	CD40L	68
cl135	NA	median-channel-value	TCGA-04-1343-01A-01W-0486-08	TRBM	48
cl9	0	median-channel-value	TCGA-04-1343-01A-01R-1564-13	IL2RA	15
cl101	1.50857322098237	median-channel-value	TCGA-05-5428-01A-01D-1625-08	CCR7	109
cl40	2.17282703793321	median-channel-value	TCGA-04-1332-01A-01W-0488-09	CCR2	42
cl147	2.72854832804986	median-channel-value	TCGA-04-1364-01A-01R-1565-13	TRBM	35
cl97	0	median-channel-value	TCGA-02-2483-01A-01D-1494-08	NCAM1	8
cl92	0.363959154270474	median-channel-value	TCGA-04-1348-01A-01W-0492-08	PD1L1	46
cl101	0.0634575089012775	median-channel-value	TCGA-02-0055-01A-01D-1490-08	CTLA4	9
cl198	NA	median-channel-value	TCGA-05-4249-01A-01R-1107-07	CD3E	92
cl78	0.469571284522133	median-channel-value	TCGA-04-1649-01A-01W-0639-09	HAVR2	40
cl65	1.26318426837172	median-channel-value	TCGA-05-4432-01A-01R-1206-07	ITAX	74
cl100	0.144528080589323	median-channel-value	TCGA-05-5423-01A-01D-1625-08	FOXP3	85
cl39	0	median-channel-value	TCGA-05-4426-01A-01D-1265-08	CD33	72
cl151	NA	median-channel-value	TCGA-05-4430-01A-02R-1206-07	CD7	66
cl47	2.08393865546551	median-channel-value	TCGA-05-4390-01A-02D-1753-08	CD38	119
cl116	0.164954472587532	median-channel-value	TCGA-06-0649-01B-01R-1849-01	IL3RA	134
cl103	3.98844924659401	median-channel-value	TCGA-05-4418-01A-01D-1265-08	ITAX	128
cl58	0.0585648617292929	median-channel-value	TCGA-05-5428-01A-01D-1625-08	KI67	109
cl157	0.844218423912735	median-channel-value	TCGA-05-4433-01A-22D-1855-08	MRC1	88
cl77	2.19283779056723	median-channel-value	TCGA-05-4410-01A-21R-1858-07	CD38	89
cl75	1.26406646603372	median-channel-value	TCGA-02-2483-01A-01R-1849-01	CD3E	1
cl11	0	median-channel-value	TCGA-05-5715-01A-01D-1625-08	KI67	82
cl170	0.118985103834853	median-channel-value	TCGA-04-1516-01A-01D-1526-09	CD27	52
cl141	0	median-channel-value	TCGA-05-4432-01A-01D-1265-08	FCG3A	73
cl184	3.74608771379587	median-channel-value	TCGA-02-0033-01A-01D-1490-08	FCERA	13
cl126	0	median-channel-value	TCGA-06-0171-01A-02D-1491-08	FOXP3	142
cl102	0.294757326268792	median-channel-value	TCGA-06-0882-01A-01D-1492-08	DRA	143
cl12	0	median-channel-value	TCGA-06-0241-01A-02D-1491-08	CTLA4	137
cl48	0	median-channel-value	TCGA-04-1361-01A-01W-0492-08	TRBM	54
cl42	4.35404392064653	median-channel-value	TCGA-06-1805-01A-01W-0643-08	CD3E	136
cl162	NA	median-channel-value	TCGA-04-1542-01A-01W-0553-09	PD1L1	47
cl123	2.66341820892167	median-channel-value	TCGA-05-4250-01A-01D-1105-08	KI67	131
cl132	2.78246773721372	median-channel-value	TCGA-06-0675-11A-32R-A36H-07	CCR2	144
cl133	NA	median-channel-value	TCGA-04-1542-01A-01R-1566-13	PD1L1	63
cl39	0	median-channel-value	TCGA-04-1332-01A-01R-1564-13	KIT	37
cl47	0.0693029253036344	median-channel-value	TCGA-05-4389-01A-01D-1265-08	IL3RA	80
cl56	0.181907388725102	median-channel-value	TCGA-02-2470-01A-01D-1494-08	NCAM1	14
cl23	0.0493570967848466	median-channel-value	TCGA-04-1343-01A-01R-1564-13	PD1L1	15
cl172	NA	median-channel-value	TCGA-06-0675-11A-32R-A36H-07	ITAM	144
cl124	0.246720844919785	median-channel-value	TCGA-05-5428-01A-01R-1628-07	CTLA4	94
cl172	NA	median-channel-value	TCGA-04-1361-01A-01R-1565-13	CCR7	50
cl198	NA	median-channel-value	TCGA-05-4389-01A-01R-1206-07	TRBM	103
cl25	0.677434218879856	median-channel-value	TCGA-02-2485-01A-01R-1849-01	FOXP3	4
cl72	0	median-channel-value	TCGA-05-4402-01A-01R-1206-07	IL2RA	71
cl81	0.974383613790958	median-channel-value	TCGA-04-1346-01A-01W-0486-08	IL7RA	41
cl76	0.112700913930994	median-channel-value	TCGA-05-4433-01A-22D-1855-08	FCERA	88
cl30	0.389003102618881	median-channel-value	TCGA-02-0047-01A-01R-1849-01	CTLA4	12
cl36	0.625559504047146	median-channel-value	TCGA-05-4434-01A-01R-1206-07	CD86	96
cl38	3.38558910962393	median-channel-value	TCGA-05-4426-01A-01D-1265-08	PTPRC/CD45RA	72
cl77	0	median-channel-value	TCGA-05-4403-01A-01R-1206-07	KIT	95
cl110	NA	median-channel-value	TCGA-06-0185-01A-01D-1491-08	KI67	145
cl97	0	median-channel-value	TCGA-06-1800-01A-01W-0643-08	KIT	132
cl86	3.87000258521673	median-channel-value	TCGA-04-1341-01A-01W-0486-08	ITAM	38
cl66	0.0505511666431689	median-channel-value	TCGA-05-4432-01A-01D-1265-08	TNR5	73
cl115	3.68571436162908	median-channel-value	TCGA-05-5429-01A-01R-1628-07	ITAM	121
cl45	1.82239269334855	median-channel-value	TCGA-06-0210-01B-01D-1491-08	CD7	146
cl156	5.84434874058234	median-channel-value	TCGA-05-5715-01A-01R-1628-07	CCR2	112
cl119	NA	median-channel-value	TCGA-04-1349-01A-01W-0492-08	KI67	58
cl124	3.02319726632276	median-channel-value	TCGA-04-1367-01A-01W-0492-08	NCAM1	32
cl161	NA	median-channel-value	TCGA-06-0210-01B-01D-1491-08	CD33	146
cl28	0	median-channel-value	TCGA-05-4422-01A-01D-1265-08	PDCD1	91
cl99	0.0885469127382141	median-channel-value	TCGA-05-4424-01A-22D-1855-08	IL2RA	111
cl41	2.88090284053513	median-channel-value	TCGA-06-0210-01B-01D-1491-08	IL7RA	146
cl60	0	median-channel-value	TCGA-05-4395-01A-01D-1265-08	IL2RA	126
cl183	2.74566605861536	median-channel-value	TCGA-04-1364-01A-01R-1565-13	FCERA	35
cl131	2.6810692405148	median-channel-value	TCGA-04-1530-01A-02R-1569-13	TRBM	33
cl160	NA	median-channel-value	TCGA-04-1655-01A-01R-1566-13	CD33	56
cl142	4.81440402030548	median-channel-value	TCGA-06-0128-01A-01D-1490-08	PTPRC/CD45RA	147
cl43	NA	median-channel-value	TCGA-02-0055-01A-01D-1490-08	TBX21	9
cl100	3.23638396765815	median-channel-value	TCGA-04-1331-01A-01W-0486-08	CD4	60
cl114	0.0226820940533321	median-channel-value	TCGA-02-2470-01A-01D-1494-08	NCAM1	14
cl23	0.859056781755582	median-channel-value	TCGA-05-4430-01A-02R-1206-07	FOXP3	66
cl26	1.73029355021864	median-channel-value	TCGA-05-4417-01A-22R-1858-07	CD3E	122
cl134	NA	median-channel-value	TCGA-06-0128-01A-01D-1490-08	FCG3A	147
cl185	NA	median-channel-value	TCGA-05-4433-01A-22R-1858-07	FOXP3	108
cl130	0	median-channel-value	TCGA-05-4418-01A-01R-1206-07	KIT	69
cl83	0	median-channel-value	TCGA-05-4426-01A-01R-1206-07	TRBM	102
cl171	0.667318999916048	median-channel-value	TCGA-04-1357-01A-01R-1565-13	CTLA4	24
cl122	NA	median-channel-value	TCGA-04-1360-01A-01W-0492-08	NCAM1	51
cl14	0.391704682361615	median-channel-value	TCGA-05-4403-01A-01R-1206-07	TBX21	95
cl196	NA	median-channel-value	TCGA-05-5420-01A-01D-1625-08	CD1C	65
cl195	0.144353790513188	median-channel-value	TCGA-05-4249-01A-01D-1105-08	KIT	67
cl84	4.13570206143063	median-channel-value	TCGA-04-1530-01A-02R-1569-13	CD27	33
cl44	0	median-channel-value	TCGA-06-1804-01A-01D-1696-08	PD1L1	148
cl103	NA	median-channel-value	TCGA-05-4430-01A-02D-1265-08	KI67	68
cl64	1.53998543176687	median-channel-value	TCGA-04-1343-01A-01R-1564-13	CCR7	15
cl59	1.8723282415336	median-channel-value	TCGA-06-2563-01A-01R-1849-01	FOXP3	140
cl166	0	median-channel-value	TCGA-05-4395-01A-01R-1206-07	CD1C	106
cl186	NA	median-channel-value	TCGA-04-1362-01A-01W-0492-08	CCR2	34
cl136	NA	median-channel-value	TCGA-04-1638-01A-01W-0639-09	NCAM1	61
cl51	1.77495033117615	median-channel-value	TCGA-04-1542-01A-01R-1566-13	ITAX	63
cl121	0	median-channel-value	TCGA-06-0210-01B-01D-1491-08	KIT	146
cl102	0	median-channel-value	TCGA-02-0033-01A-01D-1490-08	FCG3A	13
cl153	4.95009728595513	median-channel-value	TCGA-05-4403-01A-01D-1265-08	CD14	83
cl80	0.25684414958885	median-channel-value	TCGA-02-2483-01A-01R-1849-01	TNR5	1
cl75	0	median-channel-value	TCGA-06-1800-01A-01W-0643-08	FCG3A	132
cl38	0.274621279793956	median-channel-value	TCGA-02-0047-01A-01R-1849-01	ITAX	12
cl93	0.0458714411262596	median-channel-value	TCGA-06-5418-01A-01D-1486-08	CTLA4	138
cl84	3.37467277677146	median-channel-value	TCGA-05-4249-01A-01D-1105-08	IL7RA	67
cl27	1.0271860848416	median-channel-value	TCGA-04-1357-01A-01R-1565-13	CD8A	24
cl151	NA	median-channel-value	TCGA-04-1367-01A-01W-0492-08	PDCD1	32
cl127	1.41006008587406	median-channel-value	TCGA-05-4382-01A-01R-1206-07	CD27	79
cl141	0.58587735012876	median-channel-value	TCGA-04-1514-01A-01R-1566-13	MRC1	43
cl131	0	popsize	TCGA-05-4433-01A-22D-1855-08	NA	88
cl73	0.00397332778887617	median-channel-value	TCGA-04-1341-01A-01W-0486-08	IL2RA	38
cl119	1.24082131905887	median-channel-value	TCGA-05-5715-01A-01R-1628-07	ITAM	112
cl178	3.28970285798828	median-channel-value	TCGA-04-1519-01A-01R-1565-13	KI67	19
cl129	0	median-channel-value	TCGA-05-4427-01A-21R-1858-07	FCERA	115
cl134	NA	median-channel-value	TCGA-02-2485-01A-01R-1849-01	TNR5	4
cl31	0.157732967806682	median-channel-value	TCGA-04-1353-01A-01D-1526-09	CD8A	27
cl157	1.78815553825823	median-channel-value	TCGA-05-4249-01A-01D-1105-08	CD86	67
cl156	NA	median-channel-value	TCGA-06-0882-01A-01D-1492-08	CD27	143
cl105	0.28325008986853	median-channel-value	TCGA-05-4390-01A-02R-1755-07	CD38	107
cl175	1.63211204136646	median-channel-value	TCGA-04-1356-01A-01W-0492-08	TNR5	49
cl87	2.56269264409601	median-channel-value	TCGA-04-1349-01A-01W-0492-08	IL7RA	58
cl36	0	median-channel-value	TCGA-05-4434-01A-01R-1206-07	FCG3A	96
cl30	0.0444079959477818	median-channel-value	TCGA-04-1356-01A-01W-0492-08	FCGR1	49
cl10	4.61151471708973	median-channel-value	TCGA-04-1350-01A-01R-1565-13	CCR2	29
cl5	1.12540845211289	median-channel-value	TCGA-02-0055-01A-01D-1490-08	ITAM	9
cl110	NA	median-channel-value	TCGA-04-1348-01A-01W-0492-08	HAVR2	46
cl58	0.0234430190661967	median-channel-value	TCGA-05-4418-01A-01R-1206-07	CTLA4	69
cl98	0.313431712177036	median-channel-value	TCGA-06-1800-01A-01W-0643-08	IL3RA	132
cl58	2.20377826049416	median-channel-value	TCGA-04-1365-01A-01R-1565-13	TNR5	57
cl4	1.43810414992828	median-channel-value	TCGA-04-1644-01B-01D-1526-09	IL3RA	25
cl127	NA	median-channel-value	TCGA-06-0675-11A-32R-A36H-07	IL2RA	144
cl11	0	median-channel-value	TCGA-04-1343-01A-01R-1564-13	CCR7	15
cl169	1.07082010238978	median-channel-value	TCGA-05-5420-01A-01D-1625-08	CD14	65
cl190	3.74589744942453	median-channel-value	TCGA-05-4244-01A-01D-1105-08	PTPRC/CD45RA	118
cl115	NA	median-channel-value	TCGA-04-1536-01A-01R-1566-13	CEAM1	36
cl14	0.850463380983127	median-channel-value	TCGA-05-4430-01A-02R-1206-07	CD8A	66
cl127	0.102684231580674	median-channel-value	TCGA-06-2566-01A-01W-0837-08	IL2RA	149
cl73	0	median-channel-value	TCGA-05-4396-01A-21D-1855-08	FCERA	125
cl153	NA	median-channel-value	TCGA-02-2483-01A-01D-1494-08	CD40L	8
cl137	3.8576469588981	median-channel-value	TCGA-05-4410-01A-21R-1858-07	PTPRC/CD45RA	89
cl59	NA	median-channel-value	TCGA-04-1651-01A-01W-0639-09	CD86	28
cl195	NA	median-channel-value	TCGA-04-1331-01A-01R-1569-13	KIT	44
cl104	0.201702985181734	median-channel-value	TCGA-06-0238-01A-02D-1492-08	CD27	150
cl47	0	median-channel-value	TCGA-04-1542-01A-01R-1566-13	IL2RA	63
cl129	NA	median-channel-value	TCGA-06-0649-01B-01D-1492-08	CD19	151
cl46	0.105930113514533	median-channel-value	TCGA-04-1360-01A-01W-0492-08	CD33	51
cl11	0	median-channel-value	TCGA-04-1542-01A-01W-0553-09	CD8A	47
cl97	1.02716844895713	median-channel-value	TCGA-04-1356-01A-01R-1569-13	MRC1	30
cl75	0.136922918911426	median-channel-value	TCGA-05-4398-01A-01R-1206-07	CCR7	76
cl165	NA	median-channel-value	TCGA-05-4384-01A-01D-1753-08	TNR5	90
cl54	0	median-channel-value	TCGA-05-4415-01A-22D-1855-08	CD1C	84
cl73	0.529165046236995	median-channel-value	TCGA-04-1350-01A-01R-1565-13	CD4	29
cl72	0.679646713545597	median-channel-value	TCGA-02-0047-01A-01D-1490-08	CD86	2
cl129	NA	median-channel-value	TCGA-04-1649-01A-01W-0639-09	ITAX	40
cl187	0	median-channel-value	TCGA-05-4422-01A-01R-1206-07	NCAM1	99
cl84	0	median-channel-value	TCGA-04-1348-01A-01W-0492-08	CD1C	46
cl74	0.0353060149978769	median-channel-value	TCGA-02-2483-01A-01D-1494-08	CD33	8
cl108	0	median-channel-value	TCGA-04-1332-01A-01W-0488-09	CD27	42
cl101	0	median-channel-value	TCGA-05-5423-01A-01R-1628-07	MRC1	93
cl184	NA	median-channel-value	TCGA-05-5423-01A-01D-1625-08	CEAM1	85
cl141	1.29805344790738	median-channel-value	TCGA-04-1646-01A-01W-0639-09	CD14	26
cl117	NA	median-channel-value	TCGA-05-4390-01A-02R-1755-07	FCGR1	107
cl26	0	median-channel-value	TCGA-06-1804-01A-01D-1696-08	IL2RA	148
cl164	0.314763699746719	median-channel-value	TCGA-04-1361-01A-01W-0492-08	MRC1	54
cl178	NA	median-channel-value	TCGA-04-1646-01A-01W-0639-09	CD86	26
cl18	0	median-channel-value	TCGA-05-5420-01A-01D-1625-08	HAVR2	65
cl114	0.242253851621855	median-channel-value	TCGA-04-1530-01A-02R-1569-13	CTLA4	33
cl133	NA	median-channel-value	TCGA-04-1530-01A-02R-1569-13	HAVR2	33
cl129	NA	median-channel-value	TCGA-04-1648-01A-01W-0639-09	ITAM	16
cl174	NA	median-channel-value	TCGA-05-4249-01A-01R-1107-07	CCR2	92
cl183	NA	median-channel-value	TCGA-05-4395-01A-01D-1265-08	DRA	126
cl180	NA	median-channel-value	TCGA-06-2563-01A-01R-1849-01	CD8A	140
cl33	0.0590138681862638	median-channel-value	TCGA-06-2563-01A-01R-1849-01	CD19	140
cl127	1.31652451005977	median-channel-value	TCGA-02-0047-01A-01D-1490-08	CD8A	2
cl11	2.42386640617219	median-channel-value	TCGA-04-1364-01A-01R-1565-13	TRBM	35
cl165	5.68019192281389	median-channel-value	TCGA-05-4430-01A-02D-1265-08	CD86	68
cl181	0.4991198829599	median-channel-value	TCGA-05-4422-01A-01R-1206-07	ITAX	99
cl2	0.233596759401764	median-channel-value	TCGA-04-1353-01A-01D-1526-09	CD8A	27
cl88	0.05480670133983	median-channel-value	TCGA-06-5418-01A-01D-1486-08	FCERA	138
cl134	NA	median-channel-value	TCGA-05-4250-01A-01D-1105-08	IL3RA	131
cl137	NA	median-channel-value	TCGA-04-1353-01A-01D-1526-09	CD3E	27
cl191	NA	median-channel-value	TCGA-02-2466-01A-01W-0837-08	FCG3A	10
cl152	2.24156986893565	median-channel-value	TCGA-02-2486-01A-01D-1494-08	CD3E	3
cl22	0.772886320091742	median-channel-value	TCGA-02-2485-01A-01D-1494-08	TRBM	5
cl1	0	median-channel-value	TCGA-05-4398-01A-01R-1206-07	TRBM	76
cl79	1.63015511473874	median-channel-value	TCGA-04-1369-01A-02D-1526-09	CCR2	23
cl63	0.00200457066158399	median-channel-value	TCGA-05-4432-01A-01D-1265-08	CD14	73
cl199	NA	median-channel-value	TCGA-05-4424-01A-22D-1855-08	CD3E	111
cl126	1.69346907924798	median-channel-value	TCGA-06-0238-01A-02R-1849-01	CD4	152
cl158	0	median-channel-value	TCGA-05-4389-01A-01R-1206-07	KIT	103
cl76	0.481152882518997	median-channel-value	TCGA-06-0882-01A-01D-1492-08	MRC1	143
cl183	NA	median-channel-value	TCGA-04-1362-01A-01R-1565-13	MRC1	17
cl127	3.24368686816578	median-channel-value	TCGA-04-1369-01A-02D-1526-09	CD40L	23
cl165	2.21559038939939	median-channel-value	TCGA-04-1331-01A-01R-1569-13	IL7RA	44
cl89	0.0899601786690356	median-channel-value	TCGA-06-2563-01A-01R-1849-01	CCR7	140
cl63	0.00240250776832142	median-channel-value	TCGA-05-4398-01A-01R-1206-07	PD1L1	76
cl144	0.445979595878169	median-channel-value	TCGA-06-5410-01A-01D-1696-08	FOXP3	153
cl67	0.145097259602097	median-channel-value	TCGA-05-4396-01A-21R-1858-07	FCGR1	120
cl120	0.919654442905275	median-channel-value	TCGA-04-1655-01A-01R-1566-13	MRC1	56
cl11	0.525303789417438	median-channel-value	TCGA-06-0675-11A-32R-A36H-07	FCGR1	144
cl120	0	median-channel-value	TCGA-05-4425-01A-01D-1753-08	KIT	81
cl129	0.116160021602309	median-channel-value	TCGA-04-1536-01A-01R-1566-13	CD14	36
cl190	NA	median-channel-value	TCGA-04-1530-01A-02R-1569-13	TRBM	33
cl65	0	median-channel-value	TCGA-06-0645-01A-01R-1849-01	PD1L1	133
cl183	0	median-channel-value	TCGA-04-1516-01A-01D-1526-09	CEAM1	52
cl7	0.0599097936456147	median-channel-value	TCGA-05-5715-01A-01R-1628-07	FCGR1	112
cl10	3.36401965720434	median-channel-value	TCGA-06-5412-01A-01R-1849-01	CD4	141
cl66	0.0092	popsize	TCGA-04-1361-01A-01R-1565-13	NA	50
cl43	0	median-channel-value	TCGA-04-1353-01A-01D-1526-09	PDCD1	27
cl73	0	median-channel-value	TCGA-06-0675-11A-32R-A36H-07	NCAM1	144
cl30	0	median-channel-value	TCGA-04-1644-01B-01D-1526-09	CD27	25
cl62	0.0572016954726555	median-channel-value	TCGA-02-0003-01A-01D-1490-08	FCGR1	11
cl130	NA	median-channel-value	TCGA-05-4402-01A-01D-1265-08	TNR5	87
cl9	0	median-channel-value	TCGA-04-1343-01A-01R-1564-13	CCR7	15
cl89	0	median-channel-value	TCGA-04-1331-01A-01W-0486-08	CD33	60
cl133	7e-04	popsize	TCGA-06-0241-01A-02D-1491-08	NA	137
cl38	4.31925629824378	median-channel-value	TCGA-05-4430-01A-02D-1265-08	CD8A	68
cl91	2.58898013239383	median-channel-value	TCGA-06-0209-01A-01D-1491-08	CD40L	154
cl176	4.82710520971946	median-channel-value	TCGA-05-4405-01A-21R-1858-07	CD27	104
cl139	1.14289142845202	median-channel-value	TCGA-04-1648-01A-01R-1567-13	CD38	59
cl187	0.725777865397029	median-channel-value	TCGA-02-0055-01A-01R-1849-01	FCG3A	7
cl150	1.10076607875536	median-channel-value	TCGA-04-1356-01A-01W-0492-08	CD14	49
cl189	NA	median-channel-value	TCGA-04-1530-01A-02R-1569-13	CD7	33
cl62	0	median-channel-value	TCGA-05-4415-01A-22R-1858-07	CD33	105
cl171	NA	median-channel-value	TCGA-05-5423-01A-01D-1625-08	CD3E	85
cl50	0	median-channel-value	TCGA-05-4434-01A-01D-1265-08	CD27	98
cl187	NA	median-channel-value	TCGA-04-1341-01A-01R-1564-13	IL7RA	39
cl187	NA	median-channel-value	TCGA-04-1343-01A-01W-0486-08	CD38	48
cl150	1.36509191639891	median-channel-value	TCGA-04-1357-01A-01R-1565-13	TNR5	24
cl176	0.370742169367842	median-channel-value	TCGA-06-0681-11A-41R-A36H-07	PD1L1	155
cl183	4.24921479319558	median-channel-value	TCGA-05-4434-01A-01R-1206-07	CD7	96
cl15	1.13177385356784	median-channel-value	TCGA-04-1367-01A-01W-0492-08	CD4	32
cl58	0.0140478599376699	median-channel-value	TCGA-04-1356-01A-01R-1569-13	PDCD1	30
cl1	0	median-channel-value	TCGA-02-0055-01A-01R-1849-01	HAVR2	7
cl7	0.215547136488471	median-channel-value	TCGA-02-2483-01A-01D-1494-08	CD33	8
cl113	0.213616995128726	median-channel-value	TCGA-05-4403-01A-01D-1265-08	CD33	83
cl112	0.528877489601306	median-channel-value	TCGA-06-0128-01A-01D-1490-08	PTPRC/CD45RA	147
cl90	NA	median-channel-value	TCGA-05-5423-01A-01R-1628-07	CTLA4	93
cl170	NA	median-channel-value	TCGA-04-1648-01A-01W-0639-09	CEAM1	16
cl47	1.1653974652726	median-channel-value	TCGA-05-4397-01A-01D-1265-08	ITAM	129
cl121	0.154727253719112	median-channel-value	TCGA-04-1349-01A-01W-0492-08	PDCD1	58
cl12	0.26122385973494	median-channel-value	TCGA-04-1652-01A-01W-0639-09	FOXP3	21
cl127	0.477401085658686	median-channel-value	TCGA-05-4244-01A-01D-1105-08	PD1L1	118
cl182	NA	median-channel-value	TCGA-05-4405-01A-21R-1858-07	CD7	104
cl197	NA	median-channel-value	TCGA-04-1364-01A-01R-1565-13	FCGR1	35
cl123	1.03467189906046	median-channel-value	TCGA-05-4427-01A-21D-1855-08	CD14	123
cl134	NA	median-channel-value	TCGA-04-1651-01A-01W-0639-09	TBX21	28
cl13	0.065657761686962	median-channel-value	TCGA-05-4390-01A-02D-1753-08	FCERA	119
cl121	1.90028926770227	median-channel-value	TCGA-04-1347-01A-01R-1564-13	CD3E	18
cl46	0.288727527765078	median-channel-value	TCGA-05-4418-01A-01R-1206-07	TBX21	69
cl89	0.462006443871137	median-channel-value	TCGA-04-1364-01A-01R-1565-13	ITAM	35
cl127	5.11935107836637	median-channel-value	TCGA-05-4403-01A-01R-1206-07	DRA	95
cl101	1.97594067938805	median-channel-value	TCGA-02-2483-01A-01D-1494-08	TNR5	8
cl10	4.447450778321	median-channel-value	TCGA-04-1361-01A-01W-0492-08	CD14	54
cl71	2.40192545606621	median-channel-value	TCGA-05-4395-01A-01R-1206-07	CCR2	106
cl70	0	median-channel-value	TCGA-02-0033-01A-01D-1490-08	NCAM1	13
cl140	NA	median-channel-value	TCGA-05-5420-01A-01R-1628-07	CD14	113
cl151	NA	median-channel-value	TCGA-02-2483-01A-01D-1494-08	CD14	8
cl21	0.917534410038347	median-channel-value	TCGA-06-5418-01A-01D-1486-08	KI67	138
cl96	NA	median-channel-value	TCGA-04-1332-01A-01W-0488-09	CD8A	42
cl166	0	median-channel-value	TCGA-06-0241-01A-02D-1491-08	PDCD1	137
cl172	0.247985396669265	median-channel-value	TCGA-05-4396-01A-21D-1855-08	DRA	125
cl44	0.314736243640889	median-channel-value	TCGA-02-0033-01A-01D-1490-08	CTLA4	13
cl199	NA	median-channel-value	TCGA-06-0876-01A-01D-1492-08	CCR2	156
cl124	NA	median-channel-value	TCGA-05-4418-01A-01R-1206-07	PDCD1	69
cl181	NA	median-channel-value	TCGA-05-5429-01A-01D-1625-08	CEAM1	75
cl150	0.498403565538553	median-channel-value	TCGA-04-1357-01A-01R-1565-13	FCERA	24
cl125	0	median-channel-value	TCGA-04-1542-01A-01R-1566-13	CD7	63
cl135	NA	median-channel-value	TCGA-06-0882-01A-01D-1492-08	NCAM1	143
cl138	NA	median-channel-value	TCGA-06-2557-01A-01R-1849-01	ITAX	157
cl159	NA	median-channel-value	TCGA-05-5429-01A-01D-1625-08	CD86	75
cl125	1.39202754503459	median-channel-value	TCGA-02-2486-01A-01D-1494-08	CD4	3
cl9	3.11535685920973	median-channel-value	TCGA-05-4405-01A-21D-1855-08	DRA	110
cl172	NA	median-channel-value	TCGA-02-2486-01A-01R-1849-01	CCR2	6
cl102	0	median-channel-value	TCGA-04-1348-01A-01W-0492-08	HAVR2	46
cl78	0.143704834507986	median-channel-value	TCGA-06-2566-01A-01W-0837-08	CD4	149
cl59	0.563010401689329	median-channel-value	TCGA-05-4244-01A-01R-1107-07	CD14	64
cl186	3.36112958619293	median-channel-value	TCGA-04-1357-01A-01W-0492-08	CEAM1	55
cl109	0	median-channel-value	TCGA-04-1332-01A-01R-1564-13	CD1C	37
cl176	2.16530118001712	median-channel-value	TCGA-05-4425-01A-01D-1753-08	CD38	81
cl46	0.517355000172538	median-channel-value	TCGA-02-2483-01A-01R-1849-01	DRA	1
